ms_subclass,ms_zoning,lot_area,lot_shape,land_contour,lot_config,neighborhood,bldg_type,house_style,overall_qual,overall_cond,year_remod_add,roof_style,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmt_unf_sf,heating_qc,electrical,1st_flr_sf,2nd_flr_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_qual,fireplaces,garage_type,garage_finish,garage_area,paved_drive,wood_deck_sf,mo_sold,sale_type,saleprice,pool,porch,age
20,RL,10114,3,Lvl,Inside,Mitchel,1Fam,1Story,5,5,2005,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1430.0,5,4,1430,0,1430,0,0,2,0,3,4,0,Attchd,2,624.0,2,0,3,WD ,173500,0,0,6
70,RM,4571,3,Lvl,Inside,OldTown,1Fam,2Story,5,5,1950,Gable,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,624.0,2,4,624,720,1344,0,0,1,0,4,3,0,Detchd,1,513.0,2,0,5,COD,98000,0,1,92
20,RL,8816,3,Lvl,Corner,Sawyer,1Fam,1Story,5,6,1963,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,470.0,3,4,1121,0,1121,1,0,1,0,3,3,0,Detchd,1,480.0,2,0,6,WD ,139000,0,1,46
20,RL,8197,3,Lvl,Inside,Sawyer,1Fam,1Story,6,5,1977,Gable,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,660.0,5,4,1285,0,1285,0,0,1,1,3,3,1,Attchd,2,528.0,2,138,4,WD ,143500,0,0,30
60,FV,8640,3,Lvl,Inside,Somerst,1Fam,2Story,7,5,2009,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,732.0,5,4,764,783,1547,0,0,2,1,3,4,0,Attchd,1,614.0,2,169,6,Con,215200,0,1,1
20,RL,8724,3,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1968,Gable,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,402.0,4,4,894,0,894,0,0,1,0,3,3,1,Attchd,3,450.0,2,0,5,WD ,129000,0,0,39
120,RL,5664,2,Lvl,Inside,StoneBr,TwnhsE,1Story,8,5,2000,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,343.0,5,4,1659,0,1659,1,0,2,0,2,5,1,Attchd,3,499.0,2,212,10,WD ,278000,0,1,9
60,RL,12867,2,Lvl,Corner,NridgHt,1Fam,2Story,8,5,2006,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1209.0,5,4,1209,1044,2253,0,0,2,1,3,5,1,Attchd,3,575.0,2,243,7,New,344133,0,1,1
20,RL,7980,2,Lvl,Inside,Gilbert,1Fam,1Story,6,7,2007,Gable,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,233.0,5,4,1187,0,1187,1,0,2,0,3,3,0,Attchd,3,420.0,2,483,3,WD ,185000,0,1,18
190,RL,34650,3,Bnk,Inside,Gilbert,2fmCon,1Story,5,5,1955,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,0.0,3,4,1056,0,1056,1,0,1,0,3,3,0,Attchd,3,572.0,2,264,1,WD ,145000,0,0,51
20,RL,10573,2,Lvl,Corner,NAmes,1Fam,1Story,6,6,1961,Hip,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,141.0,5,4,1453,0,1453,1,0,2,0,3,3,1,Attchd,2,530.0,2,0,4,WD ,187500,0,1,48
20,RL,8450,3,Lvl,Inside,Sawyer,1Fam,1Story,5,8,2009,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,224.0,5,4,894,0,894,1,0,1,0,3,3,1,Detchd,1,336.0,2,416,4,WD ,138500,0,1,45
50,RL,11700,2,HLS,Inside,Crawfor,1Fam,1.5Fin,5,6,1995,Gable,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,336.0,5,4,1265,673,1938,0,0,2,0,4,4,1,Detchd,1,240.0,2,0,7,WD ,198000,0,1,71
190,C (all),8250,3,Lvl,Inside,IDOTRR,2fmCon,2Story,5,6,2006,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,957.0,2,4,1034,957,1991,0,0,2,0,4,3,0,NA,0,0.0,0,0,6,WD ,119600,0,1,112
50,RL,8064,3,Lvl,Corner,NAmes,1Fam,1.5Fin,5,7,2006,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,672.0,5,4,672,252,924,0,0,1,0,3,3,1,Detchd,1,576.0,2,0,7,WD ,122900,0,0,58
20,RL,9600,3,Lvl,Inside,NWAmes,1Fam,1Story,8,5,1981,Hip,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1420.0,3,4,2524,0,2524,1,0,2,1,4,4,1,Attchd,3,542.0,2,474,7,WD ,278000,0,1,28
70,RL,11435,2,HLS,Corner,Crawfor,1Fam,2Story,8,7,1950,Gable,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,792.0,2,4,792,725,1517,0,0,1,0,3,4,2,Detchd,1,400.0,2,0,6,WD ,230000,0,0,77
120,RL,9549,2,Lvl,CulDSac,Veenker,TwnhsE,1Story,8,5,1996,Hip,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,0.0,5,4,1494,0,1494,1,0,1,1,2,5,1,Attchd,3,481.0,2,0,4,WD ,270000,0,1,11
20,RL,10950,3,Lvl,Inside,NAmes,1Fam,1Story,6,6,1952,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,507.0,3,4,948,0,948,0,0,1,0,2,3,0,Detchd,1,410.0,0,0,4,WD ,125000,0,1,55
20,RL,10637,3,Lvl,Inside,CollgCr,1Fam,1Story,8,5,2008,Hip,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,417.0,5,4,1718,0,1718,1,0,2,0,3,4,1,Attchd,2,826.0,2,208,9,WD ,297000,0,1,2
20,RL,9000,2,HLS,Inside,NAmes,1Fam,1Story,6,6,1958,Flat,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,160.0,2,4,1142,0,1142,0,0,1,0,2,3,1,Basment,2,384.0,2,0,4,WD ,113500,0,1,51
160,RM,2665,3,Lvl,Inside,MeadowV,TwnhsE,2Story,5,6,1977,Gable,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,36.0,5,4,925,550,1475,0,0,2,0,4,3,1,Attchd,2,336.0,2,104,7,WD ,127000,0,1,29
20,RL,11751,2,Lvl,Inside,NWAmes,1Fam,1Story,6,6,1977,Hip,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1139.0,5,4,1844,0,1844,0,0,2,0,3,3,1,Attchd,2,546.0,2,0,1,COD,190000,0,1,33
20,RL,9600,3,Lvl,Inside,NWAmes,1Fam,1Story,7,6,1973,Hip,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,326.0,2,4,1242,0,1242,0,0,1,1,3,3,1,Attchd,1,528.0,2,0,9,WD ,175500,0,0,34
20,RL,8428,1,Lvl,Inside,CollgCr,1Fam,1Story,5,7,1994,Gable,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,570.0,5,4,990,0,990,1,0,1,0,3,3,0,Detchd,1,384.0,2,256,7,WD ,146000,0,0,13
20,RL,9937,3,Lvl,Inside,Edwards,1Fam,1Story,5,6,1965,Gable,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,136.0,4,4,1256,0,1256,1,0,1,1,3,3,0,Attchd,3,276.0,2,736,6,WD ,147500,0,1,43
20,RL,13891,3,Lvl,Inside,NridgHt,1Fam,1Story,10,5,2006,Gable,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,690.0,5,4,2076,0,2076,1,0,2,1,2,5,1,Attchd,3,850.0,2,216,9,New,465000,0,1,0
85,RL,9101,2,Lvl,Corner,Mitchel,1Fam,SFoyer,5,6,1978,Gable,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,0.0,5,4,1110,0,1110,1,0,1,0,1,4,1,Attchd,3,602.0,2,303,7,WD ,165500,0,1,31
50,RM,12150,3,Lvl,Inside,OldTown,1Fam,1.5Fin,5,5,1954,Gable,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1050.0,5,2,1050,745,1795,0,0,2,0,4,3,0,Attchd,1,352.0,2,0,11,WD ,131500,0,0,54
20,RL,11200,3,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1965,Hip,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,134.0,5,4,1040,0,1040,1,0,1,0,3,3,0,Detchd,1,384.0,2,0,2,WD ,129500,0,0,43
70,RL,9670,2,HLS,Inside,Crawfor,1Fam,2Story,8,6,1950,Gable,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,398.0,3,4,983,890,1873,0,0,1,1,4,3,2,Detchd,3,786.0,2,0,6,WD ,257076,0,1,73
50,RL,10998,3,Lvl,Inside,Edwards,1Fam,1.5Fin,5,5,1960,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,156.0,5,4,984,620,1604,0,0,2,0,3,3,0,Detchd,1,660.0,2,0,7,WD ,117000,0,1,68
70,RL,7200,3,HLS,Inside,Crawfor,1Fam,2Story,7,6,2000,Gable,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,776.0,3,4,851,651,1502,0,0,1,1,3,3,1,Attchd,2,270.0,1,0,2,WD ,149000,0,1,77
20,RL,9920,3,Lvl,Inside,NAmes,1Fam,1Story,5,5,1954,Gable,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,412.0,3,4,1063,0,1063,1,0,1,0,3,3,0,Attchd,2,280.0,2,0,2,WD ,128000,0,1,56
160,RL,2448,3,Lvl,Inside,NridgHt,Twnhs,2Story,7,5,2004,Gable,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,764.0,5,4,764,862,1626,0,0,2,1,2,4,0,BuiltIn,2,474.0,2,0,10,WD ,155000,0,1,5
160,FV,2998,3,Lvl,Inside,Somerst,TwnhsE,2Story,6,5,2000,Gable,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,403.0,5,4,768,756,1524,0,0,2,1,2,4,0,Detchd,1,440.0,2,0,6,WD ,166000,0,1,6
50,RL,7804,3,Lvl,Inside,SWISU,1Fam,1.5Fin,4,3,1950,Gable,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,500.0,3,4,1328,653,1981,1,0,2,0,4,4,2,Detchd,1,576.0,2,431,12,WD ,135000,0,1,81
60,RL,16692,2,Lvl,Inside,NWAmes,1Fam,2Story,7,5,1978,Gable,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,133.0,3,4,1392,1392,2784,1,0,3,1,5,4,2,Attchd,2,564.0,2,0,7,WD ,250000,1,1,28
160,RM,1476,3,Lvl,Inside,MeadowV,Twnhs,2Story,4,7,1970,Gable,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,370.0,5,4,546,546,1092,0,0,1,1,3,3,0,NA,0,0.0,2,200,3,WD ,76000,0,1,40
20,RL,10170,3,Lvl,Corner,NAmes,1Fam,1Story,6,6,1951,Hip,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,216.0,3,4,1575,0,1575,0,0,1,1,2,4,1,Attchd,1,400.0,2,0,6,WD ,155000,0,0,55
60,RL,9364,3,Lvl,Corner,Sawyer,1Fam,2Story,6,7,1969,Gable,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,292.0,3,4,663,689,1352,0,0,1,1,4,3,0,Attchd,3,299.0,2,379,3,WD ,158000,0,1,41
160,FV,2544,3,Lvl,Inside,Somerst,Twnhs,2Story,7,5,2005,Gable,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,190.0,5,4,600,600,1200,1,0,2,1,2,4,0,Detchd,2,480.0,2,0,2,WD ,149500,0,1,6
20,RL,9888,3,Lvl,Inside,NAmes,1Fam,1Story,5,6,1975,Gable,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,486.0,450.0,3,3,936,0,936,0,0,1,0,2,3,0,Attchd,1,240.0,2,0,3,WD ,121000,0,1,52
20,RL,7942,3,Lvl,Inside,NAmes,1Fam,1Story,6,7,1953,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,85.0,0.0,3,2,1040,0,1040,0,1,1,0,3,3,0,Attchd,3,293.0,2,0,6,WD ,136000,0,0,54
60,RL,15038,1,Lvl,Corner,Gilbert,1Fam,2Story,6,5,1996,Gable,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,3,138.0,778.0,4,4,916,720,1636,0,0,2,1,3,3,1,Attchd,3,386.0,2,168,11,WD ,173000,0,1,12
60,RL,11764,2,Lvl,CulDSac,NoRidge,1Fam,2Story,8,7,2007,Gable,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4,3,1,6,524.0,628.0,5,4,1164,1106,2270,0,0,2,1,4,4,1,Attchd,3,671.0,2,132,4,WD ,290000,0,1,11
60,FV,9000,3,Lvl,Inside,Somerst,1Fam,2Story,8,5,2007,Gable,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,3,6,64.0,1120.0,5,4,1184,1426,2610,0,0,2,1,4,5,1,BuiltIn,3,550.0,2,208,8,New,303477,0,1,0
20,RL,20062,2,Low,Inside,ClearCr,1Fam,1Story,7,7,2001,Hip,Wd Sdng,Wd Sdng,None,0.0,4,4,CBlock,4,3,4,5,1092.0,328.0,4,4,1483,0,1483,1,0,1,1,1,3,2,Attchd,2,690.0,2,496,4,WD ,270000,0,0,33
50,RM,7308,3,Lvl,Corner,OldTown,1Fam,1.5Fin,5,5,1950,Gable,WdShing,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,360.0,576.0,4,3,960,780,1740,0,0,1,0,2,5,1,Detchd,1,225.0,0,0,6,WD ,122250,0,1,88
20,RL,8750,3,Lvl,Inside,NAmes,1Fam,1Story,5,5,1955,Gable,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,1,3,172.0,727.0,4,3,1382,0,1382,0,1,1,0,3,4,0,Attchd,1,350.0,2,280,7,WD ,153000,0,0,54
20,RL,8402,3,Lvl,Inside,Mitchel,1Fam,1Story,5,5,2007,Gable,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,5,206.0,914.0,5,4,1120,0,1120,0,0,1,0,3,3,0,NA,0,0.0,2,0,12,New,147000,0,1,0
70,RL,4000,3,Lvl,Inside,Crawfor,1Fam,2Story,7,8,1995,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,4,3,1,6,246.0,285.0,3,4,567,531,1098,1,0,1,0,2,3,1,Detchd,1,216.0,2,0,6,WD ,148500,0,0,77
160,RM,3363,3,Lvl,Inside,Edwards,TwnhsE,2Story,7,5,2004,Gable,VinylSd,VinylSd,Stone,117.0,4,3,PConc,4,3,1,1,0.0,976.0,5,4,976,732,1708,0,0,2,0,3,4,0,Detchd,1,380.0,2,0,4,WD ,130000,0,1,2
20,RL,13615,2,HLS,Corner,NridgHt,1Fam,1Story,9,5,2006,Hip,MetalSd,MetalSd,Stone,510.0,5,3,PConc,5,3,4,1,0.0,1802.0,5,4,1802,0,1802,0,0,2,1,3,5,1,Attchd,3,843.0,2,158,6,WD ,372000,0,1,1
120,RL,3013,3,Lvl,Inside,Blmngtn,TwnhsE,1Story,7,5,2005,Gable,VinylSd,VinylSd,BrkFace,145.0,4,3,PConc,4,3,4,6,16.0,1346.0,5,4,1506,0,1506,0,0,2,0,2,4,1,Attchd,3,440.0,2,142,4,WD ,213490,0,1,1
20,RL,17485,1,Lvl,Inside,Edwards,1Fam,1Story,7,5,2010,Gable,VinylSd,VinylSd,Stone,96.0,4,3,PConc,4,3,4,6,1346.0,162.0,5,4,1508,0,1508,1,0,1,0,1,4,2,Attchd,2,572.0,2,0,1,Con,308030,0,0,1
20,RL,23730,1,Lvl,Inside,Mitchel,1Fam,1Story,7,5,1997,Gable,MetalSd,MetalSd,BrkFace,668.0,4,3,PConc,5,3,2,6,700.0,1140.0,5,4,2032,0,2032,1,0,3,0,3,4,0,Attchd,3,786.0,2,0,9,WD ,300000,0,1,12
20,RL,8910,3,Lvl,Corner,NAmes,1Fam,1Story,6,6,1959,Hip,BrkFace,BrkFace,None,0.0,3,3,CBlock,3,3,2,5,655.0,0.0,5,4,1194,0,1194,0,1,1,0,3,3,1,BuiltIn,3,539.0,2,0,7,WD ,159500,0,1,47
160,RM,2522,3,Lvl,Inside,Edwards,Twnhs,2Story,7,5,2004,Gable,VinylSd,VinylSd,Stone,50.0,4,3,PConc,4,3,1,1,0.0,970.0,5,4,970,739,1709,0,0,2,0,3,4,0,Detchd,1,380.0,2,0,4,WD ,137500,0,1,2
20,RL,8688,3,Lvl,Inside,Somerst,1Fam,1Story,7,5,2005,Gable,VinylSd,VinylSd,BrkFace,228.0,4,3,PConc,4,3,3,1,0.0,1616.0,5,4,1616,0,1616,0,0,2,0,3,4,0,Attchd,2,834.0,2,208,4,WD ,232000,0,1,1
30,RM,6291,2,Lvl,Inside,IDOTRR,1Fam,1Story,6,6,1950,Gable,Stucco,Wd Shng,None,0.0,4,4,BrkTil,3,3,1,1,0.0,768.0,3,4,768,0,768,0,0,1,0,1,3,0,Detchd,1,440.0,0,0,7,WD ,93850,0,1,78
30,RL,17529,3,Lvl,Inside,Sawyer,1Fam,1Story,5,5,1950,Gable,BrkFace,Wd Sdng,Stone,65.0,3,3,BrkTil,3,3,1,1,0.0,872.0,2,2,872,0,872,0,0,1,0,2,2,1,Detchd,1,322.0,0,0,4,WD ,105000,0,1,82
30,RM,6324,2,Lvl,Inside,BrkSide,1Fam,1Story,4,6,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,1,0.0,520.0,2,4,520,0,520,0,0,1,0,1,2,0,Detchd,1,240.0,2,49,5,WD ,68500,0,1,81
90,RL,11600,3,Lvl,Corner,NAmes,Duplex,2Story,5,5,1960,Gable,MetalSd,MetalSd,BrkFace,361.0,3,3,CBlock,3,3,1,3,443.0,662.0,3,3,1105,1169,2274,0,0,2,0,5,3,0,Detchd,1,480.0,2,0,1,WD ,154300,0,0,50
50,RM,7288,3,Lvl,Inside,IDOTRR,1Fam,1.5Fin,5,7,2003,Gable,VinylSd,VinylSd,None,0.0,4,4,BrkTil,3,1,1,1,0.0,936.0,5,4,936,665,1601,0,0,2,0,3,3,0,NA,0,0.0,0,0,9,WD ,129850,0,1,82
70,RM,4571,3,Lvl,Inside,OldTown,1Fam,2Story,5,7,1950,Gable,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,1,4,168.0,448.0,5,4,616,616,1232,0,0,1,0,3,3,0,Detchd,1,480.0,2,280,6,WD ,114000,0,1,97
20,RL,17423,2,Lvl,CulDSac,StoneBr,1Fam,1Story,9,5,2009,Hip,VinylSd,VinylSd,Stone,748.0,5,3,PConc,5,3,1,6,1904.0,312.0,5,4,2234,0,2234,1,0,2,0,1,5,1,Attchd,3,1166.0,2,0,7,New,501837,0,1,1
50,RM,12665,2,Lvl,Inside,OldTown,1Fam,1.5Fin,5,8,1950,Gable,Wd Sdng,Wd Sdng,None,0.0,3,3,BrkTil,3,3,2,1,0.0,876.0,4,4,876,540,1416,0,0,1,1,4,3,1,Detchd,1,720.0,2,418,6,WD ,153900,0,1,93
20,RL,9000,3,Lvl,FR2,NAmes,1Fam,1Story,4,7,2006,Gable,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,5,240.0,624.0,4,4,864,0,864,0,0,1,0,3,3,0,Detchd,1,576.0,2,200,7,WD ,130000,0,0,38
120,RM,4500,3,Lvl,FR2,Mitchel,TwnhsE,1Story,6,5,1997,Hip,VinylSd,VinylSd,BrkFace,197.0,3,3,PConc,5,3,1,6,864.0,325.0,5,4,1189,0,1189,1,0,2,0,2,3,0,Attchd,2,392.0,2,0,4,WD ,160500,0,1,11
120,RL,6373,3,Lvl,Inside,NridgHt,TwnhsE,1Story,9,5,2006,Hip,MetalSd,MetalSd,BrkFace,572.0,5,3,PConc,5,4,1,6,415.0,1251.0,5,4,1666,0,1666,1,0,2,0,2,4,1,Attchd,2,575.0,2,228,6,New,310090,0,1,0
20,RL,10083,3,Lvl,Inside,SawyerW,1Fam,1Story,7,5,2003,Gable,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,833.0,343.0,5,4,1200,0,1200,1,0,2,0,2,4,0,Attchd,2,555.0,2,0,8,WD ,184900,0,1,6
20,RL,13300,3,Lvl,Inside,NAmes,1Fam,1Story,5,7,2000,Hip,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,4,3,1,3,377.0,551.0,3,4,928,0,928,0,0,1,0,2,3,0,Attchd,1,252.0,2,261,6,WD ,132000,0,1,51
20,RL,9600,3,Lvl,Inside,NWAmes,1Fam,1Story,5,5,1969,Gable,HdBoard,HdBoard,BrkFace,128.0,3,3,CBlock,4,3,2,5,553.0,588.0,3,4,1336,0,1336,0,1,2,0,3,3,1,Attchd,2,502.0,2,312,8,WD ,163000,0,1,40
160,FV,3215,3,Lvl,Inside,Somerst,TwnhsE,2Story,7,5,2004,Gable,MetalSd,MetalSd,BrkFace,120.0,4,3,PConc,4,3,3,6,280.0,320.0,5,4,600,600,1200,0,0,2,1,2,4,0,Detchd,2,480.0,2,0,4,ConLD,155000,0,1,6
80,RL,11104,2,Lvl,Inside,NWAmes,1Fam,SLvl,6,6,1969,Gable,MetalSd,MetalSd,None,0.0,3,3,CBlock,3,3,3,6,828.0,599.0,4,4,1427,0,1427,0,1,2,0,4,3,0,Attchd,2,516.0,2,0,5,WD ,183000,0,1,39
